,Topic0,Topic1,Topic2,Topic3,Topic4,ID
0,0.19230792,0.19234435,0.19230792,0.23073189,0.19230792,1
1,0.21901557,0.11184421,0.29345936,0.16370603,0.21197483,2
2,0.2000066,0.19999284,0.20000546,0.20000306,0.19999206,3
3,0.16898473,0.16548108,0.23930243,0.16281971,0.2634121,4
4,0.26193845,0.20347576,0.11856316,0.27578962,0.14023302,5
5,0.2,0.2,0.2,0.2,0.2,6
6,0.15030916,0.31271335,0.11628659,0.20527011,0.21542083,7
7,0.25420016,0.2546479,0.2228496,0.1377502,0.13055216,8
8,0.201653,0.19148594,0.15152332,0.273529,0.18180871,9
9,0.15160713,0.15425897,0.18744275,0.2822586,0.22443257,10
10,0.17016675,0.17234093,0.23238692,0.22068779,0.20441763,11
11,0.2028191,0.18329932,0.17330635,0.26726928,0.17330599,12
12,0.25295496,0.11515898,0.19249497,0.3030335,0.13635758,13
13,0.101912625,0.23394844,0.11672471,0.08497549,0.4624388,14
14,0.1603288,0.28572616,0.07822595,0.2709092,0.20480986,15
15,0.17195144,0.27215263,0.18423145,0.16406934,0.20759508,16
16,0.2519042,0.1709796,0.13152295,0.25156552,0.19402772,17
17,0.24356972,0.24931645,0.18748212,0.15959997,0.16003175,18
18,0.19885911,0.34230712,0.20478554,0.13386601,0.1201822,19
19,0.25157,0.21899992,0.13651331,0.18028024,0.21263655,20
20,0.22179474,0.20209755,0.19937909,0.2325526,0.14417602,21
21,0.33695197,0.11233281,0.1604355,0.2728011,0.11747864,22
22,0.32884648,0.22169752,0.101240635,0.19065934,0.15755601,23
23,0.15396768,0.15099682,0.27463603,0.19816706,0.22223246,24
24,0.26476818,0.19847876,0.20190853,0.16817728,0.16666724,25
25,0.28401646,0.15583612,0.19136526,0.20024028,0.16854185,26
26,0.25318953,0.1952591,0.120194115,0.1287928,0.30256444,27
27,0.13287531,0.22493233,0.13039526,0.25179717,0.26,28
28,0.13919646,0.16993743,0.1944446,0.15019146,0.3462301,29
29,0.18482116,0.19639827,0.193544,0.1661059,0.25913066,30
30,0.20603253,0.23158178,0.1724428,0.21746813,0.17247479,31
31,0.15857412,0.1772648,0.15997784,0.39691478,0.10726846,32
32,0.16667314,0.17125697,0.24562374,0.2440654,0.17238076,33
33,0.1979268,0.23021731,0.18826753,0.20438075,0.17920755,34
34,0.35631835,0.13551585,0.20175982,0.1589019,0.1475041,35
35,0.2773744,0.1429739,0.1299244,0.26606643,0.18366084,36
36,0.23992306,0.16668208,0.20000519,0.18894745,0.20444223,37
37,0.15033023,0.14037734,0.15947913,0.16011786,0.38969544,38
38,0.15780032,0.19443108,0.14417697,0.3177688,0.18582281,39
39,0.17359854,0.17577145,0.3803209,0.13515554,0.13515355,40
40,0.24557598,0.19279253,0.25792134,0.16206671,0.14164343,41
41,0.27148402,0.15101391,0.24790908,0.18252844,0.1470645,42
42,0.16728064,0.2522498,0.13889858,0.08636794,0.35520306,43
43,0.3072279,0.23577625,0.091927685,0.19886467,0.16620347,44
44,0.27446148,0.31959215,0.08942718,0.10402466,0.21249449,45
45,0.36557025,0.1815212,0.16050436,0.09727712,0.19512708,46
46,0.24990983,0.21381374,0.13915148,0.18251614,0.2146088,47
47,0.30954263,0.16691996,0.1367323,0.24087533,0.14592974,48
48,0.26869434,0.17968203,0.10762841,0.18155713,0.26243806,49
49,0.23568782,0.15846844,0.1594747,0.26521066,0.18115841,50
50,0.16505165,0.13160358,0.26290208,0.24346684,0.19697587,51
51,0.22097847,0.12203397,0.16983925,0.25102964,0.23611866,52
52,0.20912357,0.16668223,0.25690126,0.20061074,0.16668223,53
53,0.19169046,0.12178818,0.16659032,0.36349544,0.15643561,54
54,0.25708896,0.2028293,0.16403714,0.23350322,0.14254138,55
55,0.20074181,0.19272709,0.20664193,0.21136034,0.18852885,56
56,0.1785985,0.21431647,0.1785985,0.24988805,0.1785985,57
57,0.25962484,0.18637365,0.12779431,0.31658158,0.1096256,58
58,0.20713201,0.21428978,0.18312573,0.18116593,0.21428652,59
59,0.19632986,0.10023746,0.21878038,0.1490325,0.33561978,60
60,0.26885703,0.2311143,0.17347685,0.10866003,0.21789183,61
61,0.18556541,0.23011848,0.18211761,0.21819212,0.18400638,62
62,0.2075242,0.15493043,0.24506871,0.23545481,0.1570219,63
63,0.181785,0.21123411,0.17858075,0.24981944,0.17858073,64
64,0.13733648,0.12353348,0.11152988,0.43312055,0.19447958,65
65,0.17077355,0.1933331,0.21050377,0.25800437,0.16738525,66
66,0.1621038,0.18473749,0.18263325,0.30081743,0.16970803,67
67,0.15625472,0.15625471,0.21874014,0.25278583,0.2159646,68
68,0.17635788,0.14615116,0.32926247,0.17875683,0.1694717,69
69,0.16906781,0.21414252,0.22351168,0.12347048,0.2698075,70
70,0.18456857,0.18552944,0.21425554,0.23432273,0.18132369,71
71,0.23075677,0.19231081,0.19231081,0.19231081,0.19231081,72
72,0.17755835,0.12724647,0.21543884,0.2731308,0.2066255,73
73,0.23075677,0.19231081,0.19231081,0.19231081,0.19231081,74
74,0.1936653,0.15627107,0.19949518,0.15627107,0.2942974,75
75,0.28165212,0.113672264,0.18610892,0.17928271,0.23928401,76
76,0.1897978,0.2343391,0.12296091,0.31243134,0.14047089,77
77,0.17463145,0.25269803,0.13928308,0.16503301,0.2683544,78
78,0.30110484,0.116772264,0.11992532,0.22976987,0.23242773,79
