Topics,Alpha,Eta,Coherence
2,0.01,0.01,-2.421639701746706
2,0.01,0.31,-2.2885951493402628
2,0.01,0.61,-2.2783400636907842
2,0.01,0.9099999999999999,-8.10641322059659
2,0.01,symmetric,-2.2460407407305274
2,0.31,0.01,-2.460110620299713
2,0.31,0.31,-2.3007582655122842
2,0.31,0.61,-2.3325790327241904
2,0.31,0.9099999999999999,-2.347761324439695
2,0.31,symmetric,-2.3270813468128466
2,0.61,0.01,-2.438150572389262
2,0.61,0.31,-2.3720482738795465
2,0.61,0.61,-2.3398133688698453
2,0.61,0.9099999999999999,-2.4759852252395715
2,0.61,symmetric,-2.35705165207397
2,0.9099999999999999,0.01,-2.3990383050041437
2,0.9099999999999999,0.31,-2.3356187072234746
2,0.9099999999999999,0.61,-2.502797281983342
2,0.9099999999999999,0.9099999999999999,-2.3897178789477262
2,0.9099999999999999,symmetric,-2.3503838204656113
2,symmetric,0.01,-2.436970844942419
2,symmetric,0.31,-2.3098886787865345
2,symmetric,0.61,-2.324481799818872
2,symmetric,0.9099999999999999,-2.3029254161333066
2,symmetric,symmetric,-2.332854314736831
2,asymmetric,0.01,-2.408725675423079
2,asymmetric,0.31,-2.4644208248044763
2,asymmetric,0.61,-2.6443554608884217
2,asymmetric,0.9099999999999999,-7.847034704052051
2,asymmetric,symmetric,-2.6510291311213203
3,0.01,0.01,-2.6179471744409994
3,0.01,0.31,-2.4883673877453973
3,0.01,0.61,-7.639879941024806
3,0.01,0.9099999999999999,-8.585721813914732
3,0.01,symmetric,-2.8361116934633
3,0.31,0.01,-2.5311347441931655
3,0.31,0.31,-2.4868594154223014
3,0.31,0.61,-3.3016708525711707
3,0.31,0.9099999999999999,-10.051123287023302
3,0.31,symmetric,-2.410107526669832
3,0.61,0.01,-2.5798917732887285
3,0.61,0.31,-2.4202421585650638
3,0.61,0.61,-2.537229765775144
3,0.61,0.9099999999999999,-6.352771882197719
3,0.61,symmetric,-2.394270705844281
3,0.9099999999999999,0.01,-2.5695577692924663
3,0.9099999999999999,0.31,-2.426321639135559
3,0.9099999999999999,0.61,-2.4988140154063694
3,0.9099999999999999,0.9099999999999999,-2.5948089479018708
