Topics,Alpha,Eta,Coherence
2,0.01,0.01,-2.2536270991698055
2,0.01,0.31,-2.144914701945096
2,0.01,0.61,-2.6720022884038155
2,0.01,0.9099999999999999,-5.4844381740475985
2,0.01,symmetric,-2.7405236688338954
2,0.31,0.01,-2.286967967485939
2,0.31,0.31,-2.1276033056974963
2,0.31,0.61,-2.165034119958796
2,0.31,0.9099999999999999,-2.7148506762366074
2,0.31,symmetric,-2.1320264835983975
2,0.61,0.01,-2.286097008174181
2,0.61,0.31,-2.4178757628750462
2,0.61,0.61,-2.1637775625982743
2,0.61,0.9099999999999999,-2.192880619903758
2,0.61,symmetric,-2.1664362472846133
2,0.9099999999999999,0.01,-2.288808517648609
2,0.9099999999999999,0.31,-2.4428071120468715
2,0.9099999999999999,0.61,-2.4046907600212934
2,0.9099999999999999,0.9099999999999999,-2.139718849764038
2,0.9099999999999999,symmetric,-2.454080158583479
2,symmetric,0.01,-2.2628167564687214
2,symmetric,0.31,-2.176981323222855
2,symmetric,0.61,-2.1270545948603616
2,symmetric,0.9099999999999999,-2.0738217570683517
2,symmetric,symmetric,-2.1200426054196635
2,asymmetric,0.01,-2.2086995371314746
2,asymmetric,0.31,-2.2787868738036536
2,asymmetric,0.61,-3.2365964600670134
2,asymmetric,0.9099999999999999,-3.720227393169183
2,asymmetric,symmetric,-3.242504961954027
3,0.01,0.01,-2.597137486128924
3,0.01,0.31,-5.63249342357904
3,0.01,0.61,-4.888041845966349
3,0.01,0.9099999999999999,-3.6555972688210745
3,0.01,symmetric,-5.714046768084707
3,0.31,0.01,-2.391463975685722
3,0.31,0.31,-5.284203963191444
3,0.31,0.61,-4.8854862129320455
3,0.31,0.9099999999999999,-4.505137646026214
3,0.31,symmetric,-5.6266488735182305
3,0.61,0.01,-2.3684248873433464
3,0.61,0.31,-3.180312650128594
3,0.61,0.61,-5.263468100468088
3,0.61,0.9099999999999999,-3.7236701965428636
3,0.61,symmetric,-3.2906703432938276
3,0.9099999999999999,0.01,-2.305523266660888
3,0.9099999999999999,0.31,-2.330197694892856
3,0.9099999999999999,0.61,-5.231058155682301
3,0.9099999999999999,0.9099999999999999,-4.924029377713317
3,0.9099999999999999,symmetric,-2.3252889732954936
3,symmetric,0.01,-2.4153267987169578
3,symmetric,0.31,-5.6485651508481425
3,symmetric,0.61,-4.885065020706025
3,symmetric,0.9099999999999999,-4.918861909696324
3,symmetric,symmetric,-5.7970624197143295
3,asymmetric,0.01,-2.8001327393922923
3,asymmetric,0.31,-6.031047914697652
3,asymmetric,0.61,-3.6173612011559713
3,asymmetric,0.9099999999999999,-3.5942746427525627
3,asymmetric,symmetric,-5.7549396644857795
4,0.01,0.01,-2.674399471903537
4,0.01,0.31,-4.529616851854985
4,0.01,0.61,-4.2592110219533765
4,0.01,0.9099999999999999,-7.67759221090566
4,0.01,symmetric,-5.21812720220111
4,0.31,0.01,-2.6461180020684862
4,0.31,0.31,-5.124817029009058
4,0.31,0.61,-5.199464251972184
4,0.31,0.9099999999999999,-5.6103274682317545
4,0.31,symmetric,-4.637609447462808
4,0.61,0.01,-2.583954778827429
4,0.61,0.31,-3.2336607668890087
4,0.61,0.61,-3.488629804875161
4,0.61,0.9099999999999999,-3.5800064148151742
4,0.61,symmetric,-2.6861261406697916
4,0.9099999999999999,0.01,-2.365478880874723
4,0.9099999999999999,0.31,-3.685855652986144
4,0.9099999999999999,0.61,-4.75592557976986
4,0.9099999999999999,0.9099999999999999,-3.9425688223774524
4,0.9099999999999999,symmetric,-3.499233601574428
4,symmetric,0.01,-2.652655144646607
4,symmetric,0.31,-4.831448143093989
4,symmetric,0.61,-5.26565751896031
4,symmetric,0.9099999999999999,-6.080156926447462
4,symmetric,symmetric,-5.1330791996266765
4,asymmetric,0.01,-3.0660022687881945
4,asymmetric,0.31,-6.492492246287306
4,asymmetric,0.61,-7.638263966889774
4,asymmetric,0.9099999999999999,-7.315619196585889
4,asymmetric,symmetric,-5.010693692769653
5,0.01,0.01,-2.902373698812484
5,0.01,0.31,-3.695710832879403
5,0.01,0.61,-6.5170925815167635
5,0.01,0.9099999999999999,-8.80562371018542
5,0.01,symmetric,-5.752632017472202
5,0.31,0.01,-2.593406990311859
5,0.31,0.31,-4.896723136495917
5,0.31,0.61,-6.6031423270724
5,0.31,0.9099999999999999,-6.725952098778133
5,0.31,symmetric,-5.286200796806869
5,0.61,0.01,-2.7627829174271765
5,0.61,0.31,-4.429359027887937
5,0.61,0.61,-3.519526872420843
5,0.61,0.9099999999999999,-7.651159653708968
5,0.61,symmetric,-4.50731069401502
5,0.9099999999999999,0.01,-2.5221209910813367
5,0.9099999999999999,0.31,-4.536626706596936
5,0.9099999999999999,0.61,-3.689264996826396
5,0.9099999999999999,0.9099999999999999,-8.818540930315802
5,0.9099999999999999,symmetric,-4.584997145758079
5,symmetric,0.01,-2.9516257106963604
5,symmetric,0.31,-6.144091686315237
5,symmetric,0.61,-6.600403593358917
5,symmetric,0.9099999999999999,-7.295934051043426
5,symmetric,symmetric,-5.028564365854378
5,asymmetric,0.01,-2.4213196462042594
5,asymmetric,0.31,-6.038501449872763
5,asymmetric,0.61,-9.197076870771458
5,asymmetric,0.9099999999999999,-9.261339300368851
5,asymmetric,symmetric,-6.6995381078252
6,0.01,0.01,-4.025143664280612
6,0.01,0.31,-7.1206339833433985
6,0.01,0.61,-8.18311438115773
6,0.01,0.9099999999999999,-10.330437388766303
6,0.01,symmetric,-7.036385215297574
6,0.31,0.01,-2.9724357207286047
6,0.31,0.31,-6.016092268062003
6,0.31,0.61,-11.201570499565214
6,0.31,0.9099999999999999,-10.641082502344158
6,0.31,symmetric,-5.153896567120877
6,0.61,0.01,-2.7164766934451663
6,0.61,0.31,-4.979182265641328
6,0.61,0.61,-9.278894723521047
6,0.61,0.9099999999999999,-11.349847810206056
6,0.61,symmetric,-4.079506325985599
6,0.9099999999999999,0.01,-2.670397025862952
6,0.9099999999999999,0.31,-4.474712770626534
6,0.9099999999999999,0.61,-5.264562414756179
6,0.9099999999999999,0.9099999999999999,-9.296891863654102
6,0.9099999999999999,symmetric,-3.9829742386969618
6,symmetric,0.01,-3.978537831757287
6,symmetric,0.31,-7.147689512529567
6,symmetric,0.61,-8.504528009657676
6,symmetric,0.9099999999999999,-10.74739708647171
6,symmetric,symmetric,-6.363101071622627
6,asymmetric,0.01,-3.198891986789293
6,asymmetric,0.31,-6.789353424603839
6,asymmetric,0.61,-11.206726910093073
6,asymmetric,0.9099999999999999,-9.989379604206212
6,asymmetric,symmetric,-6.6808317859901
7,0.01,0.01,-3.924580659124632
7,0.01,0.31,-9.244351515693692
7,0.01,0.61,-9.899651769100482
7,0.01,0.9099999999999999,-11.052479886678254
7,0.01,symmetric,-6.512602086624105
7,0.31,0.01,-3.078019788766684
7,0.31,0.31,-7.0849641101184915
7,0.31,0.61,-12.469041529275396
7,0.31,0.9099999999999999,-11.403121190679745
7,0.31,symmetric,-5.754643025936004
7,0.61,0.01,-2.8674904798382648
7,0.61,0.31,-4.2156321961579994
7,0.61,0.61,-9.580033902031586
7,0.61,0.9099999999999999,-10.56921182374784
