Topics,Alpha,Eta,Coherence
2,0.01,0.01,-2.0882992537556433
2,0.01,0.31,-2.1681244659092944
2,0.01,0.61,-2.2265096606707018
2,0.01,0.9099999999999999,-2.383911911009336
2,0.01,symmetric,-2.1880995128912284
2,0.31,0.01,-2.175898656338526
2,0.31,0.31,-2.1028225285314135
2,0.31,0.61,-2.2648227118530686
2,0.31,0.9099999999999999,-2.2687937027072853
2,0.31,symmetric,-2.185437958429476
2,0.61,0.01,-2.1260042151026166
2,0.61,0.31,-2.1513305831080385
2,0.61,0.61,-2.1838810248685654
2,0.61,0.9099999999999999,-2.2080824144584454
2,0.61,symmetric,-2.171965386994349
2,0.9099999999999999,0.01,-2.095772174832763
2,0.9099999999999999,0.31,-2.186076234855052
2,0.9099999999999999,0.61,-2.145781258185779
2,0.9099999999999999,0.9099999999999999,-2.2028664716487745
2,0.9099999999999999,symmetric,-2.1614396205661963
2,symmetric,0.01,-2.1243327244606114
2,symmetric,0.31,-2.1010945957258587
2,symmetric,0.61,-2.1252520657787897
2,symmetric,0.9099999999999999,-2.1954999073086214
2,symmetric,symmetric,-2.114426112347408
2,asymmetric,0.01,-2.16966006063812
2,asymmetric,0.31,-2.115184749641876
2,asymmetric,0.61,-2.1601478877791127
2,asymmetric,0.9099999999999999,-2.5656881498667055
2,asymmetric,symmetric,-2.208739866631341
3,0.01,0.01,-2.2861179342928195
3,0.01,0.31,-2.2432068957653097
3,0.01,0.61,-6.868338772260941
3,0.01,0.9099999999999999,-6.574894966153515
3,0.01,symmetric,-2.2496921205206015
3,0.31,0.01,-2.370851730150496
3,0.31,0.31,-2.2517957508384163
3,0.31,0.61,-2.415040948208391
3,0.31,0.9099999999999999,-2.4493777974377124
3,0.31,symmetric,-2.2598071147872147
3,0.61,0.01,-2.370541700851019
3,0.61,0.31,-2.2953224316202494
3,0.61,0.61,-2.315104571294829
3,0.61,0.9099999999999999,-2.3418721162167824
3,0.61,symmetric,-2.272856200573141
3,0.9099999999999999,0.01,-2.27595845394562
3,0.9099999999999999,0.31,-2.3177380860571
3,0.9099999999999999,0.61,-2.2478077056923498
3,0.9099999999999999,0.9099999999999999,-2.3055677275251014
3,0.9099999999999999,symmetric,-2.3021386954019443
3,symmetric,0.01,-2.347866899015909
3,symmetric,0.31,-2.2920191184123238
3,symmetric,0.61,-2.401857724640682
3,symmetric,0.9099999999999999,-2.463800814641279
3,symmetric,symmetric,-2.330289180836469
3,asymmetric,0.01,-2.264996343951277
3,asymmetric,0.31,-2.256762025623529
3,asymmetric,0.61,-5.590279300020952
3,asymmetric,0.9099999999999999,-5.848550007575482
3,asymmetric,symmetric,-2.3260529323106405
4,0.01,0.01,-2.5170187465128664
4,0.01,0.31,-2.5104278157797957
4,0.01,0.61,-5.182942842325231
4,0.01,0.9099999999999999,-5.422215594762768
4,0.01,symmetric,-2.6706499395621752
4,0.31,0.01,-2.4819108514216444
4,0.31,0.31,-2.4265395001999854
4,0.31,0.61,-2.4154072664869313
4,0.31,0.9099999999999999,-5.369387203638531
4,0.31,symmetric,-2.582358216534282
4,0.61,0.01,-2.417377810313503
4,0.61,0.31,-2.4093857139965404
4,0.61,0.61,-2.3690771621327844
4,0.61,0.9099999999999999,-2.4092028706852204
4,0.61,symmetric,-2.4917595243885744
4,0.9099999999999999,0.01,-2.456586647455598
4,0.9099999999999999,0.31,-2.3414212583429257
4,0.9099999999999999,0.61,-2.3745566272499383
4,0.9099999999999999,0.9099999999999999,-2.300938992166352
4,0.9099999999999999,symmetric,-2.434526805425654
4,symmetric,0.01,-2.3262436932467105
4,symmetric,0.31,-2.367542979420825
4,symmetric,0.61,-4.593327084380372
4,symmetric,0.9099999999999999,-5.355417326887887
4,symmetric,symmetric,-2.4037885698522503
4,asymmetric,0.01,-2.7032382151481067
4,asymmetric,0.31,-2.576208602769956
4,asymmetric,0.61,-5.670440860200081
4,asymmetric,0.9099999999999999,-11.142421208859943
4,asymmetric,symmetric,-2.4298836434511406
5,0.01,0.01,-2.60275099126204
5,0.01,0.31,-5.379153948015239
5,0.01,0.61,-6.274386910412056
5,0.01,0.9099999999999999,-8.842652419177977
5,0.01,symmetric,-2.831133157905021
5,0.31,0.01,-2.468678823242949
5,0.31,0.31,-2.4405854366208684
5,0.31,0.61,-3.8328251557847883
5,0.31,0.9099999999999999,-8.139443273200666
5,0.31,symmetric,-2.698466931412391
5,0.61,0.01,-2.488712252933111
5,0.61,0.31,-2.4585196178199404
5,0.61,0.61,-2.703196181630061
5,0.61,0.9099999999999999,-5.062443480686947
5,0.61,symmetric,-2.668663020259654
5,0.9099999999999999,0.01,-2.5034611475291757
5,0.9099999999999999,0.31,-2.4554176958066294
5,0.9099999999999999,0.61,-2.484942286251168
5,0.9099999999999999,0.9099999999999999,-2.4362775278214075
5,0.9099999999999999,symmetric,-2.7743216699321858
5,symmetric,0.01,-2.5939907884353985
5,symmetric,0.31,-2.75135823597301
5,symmetric,0.61,-7.975904901276392
5,symmetric,0.9099999999999999,-8.265654052814224
5,symmetric,symmetric,-2.950077287104258
5,asymmetric,0.01,-2.8976765639351707
5,asymmetric,0.31,-5.21486883340407
5,asymmetric,0.61,-9.083032724895826
5,asymmetric,0.9099999999999999,-10.229540063808086
5,asymmetric,symmetric,-2.7737552130787124
6,0.01,0.01,-3.0576301278851914
6,0.01,0.31,-5.037685797282727
6,0.01,0.61,-8.582810856847841
6,0.01,0.9099999999999999,-8.016107804906081
6,0.01,symmetric,-2.998090000075985
6,0.31,0.01,-2.4566607404510314
6,0.31,0.31,-2.8350833162789097
6,0.31,0.61,-5.808144720172304
6,0.31,0.9099999999999999,-7.106505334896441
6,0.31,symmetric,-2.8555469379418277
6,0.61,0.01,-2.5338470498730574
6,0.61,0.31,-3.057234969189247
6,0.61,0.61,-4.921809583012153
6,0.61,0.9099999999999999,-5.108840093278228
6,0.61,symmetric,-2.764712669593029
6,0.9099999999999999,0.01,-2.5221531345059516
6,0.9099999999999999,0.31,-2.6654518976771215
6,0.9099999999999999,0.61,-3.4982242150448943
6,0.9099999999999999,0.9099999999999999,-4.908296373850752
6,0.9099999999999999,symmetric,-2.7632891949134333
6,symmetric,0.01,-2.7277800180831533
6,symmetric,0.31,-3.0838315932541764
6,symmetric,0.61,-9.070181218413632
6,symmetric,0.9099999999999999,-9.695329948827938
6,symmetric,symmetric,-3.097451708422042
