Topics,Alpha,Eta,Coherence
2,0.01,0.01,-2.4285385319574195
2,0.01,0.31,-2.6442911050678566
2,0.01,0.61,-2.47523135366111
2,0.01,0.9099999999999999,-7.8614011108992585
2,0.01,symmetric,-2.3270816550425155
2,0.31,0.01,-2.2823103462320584
2,0.31,0.31,-2.606946730417409
2,0.31,0.61,-2.3435191216154823
2,0.31,0.9099999999999999,-2.540155794407208
2,0.31,symmetric,-2.4271586635449776
2,0.61,0.01,-2.2887175526416668
2,0.61,0.31,-2.7100383114858992
2,0.61,0.61,-2.451641766683937
2,0.61,0.9099999999999999,-2.5626391794979084
2,0.61,symmetric,-2.3860256839936476
2,0.9099999999999999,0.01,-2.3246784104475093
2,0.9099999999999999,0.31,-2.5583025597607447
2,0.9099999999999999,0.61,-2.32487874521561
2,0.9099999999999999,0.9099999999999999,-2.4217225302787373
2,0.9099999999999999,symmetric,-2.4447225131475854
2,symmetric,0.01,-2.335928002248583
2,symmetric,0.31,-2.71680868709639
2,symmetric,0.61,-2.4696255770687205
2,symmetric,0.9099999999999999,-2.468143590707058
2,symmetric,symmetric,-2.493083413664118
2,asymmetric,0.01,-2.331756915806245
2,asymmetric,0.31,-3.3970341666299175
2,asymmetric,0.61,-8.580924630048779
2,asymmetric,0.9099999999999999,-8.84056223607058
2,asymmetric,symmetric,-5.686110428223612
3,0.01,0.01,-2.628001770891649
3,0.01,0.31,-2.557813988486283
3,0.01,0.61,-3.96966909371517
3,0.01,0.9099999999999999,-10.440945686623678
3,0.01,symmetric,-2.597862730591812
3,0.31,0.01,-2.5823924298403047
3,0.31,0.31,-2.682311235497225
3,0.31,0.61,-2.8549022939470183
3,0.31,0.9099999999999999,-7.181370974456288
3,0.31,symmetric,-2.6421256208726174
3,0.61,0.01,-2.5209190649256095
3,0.61,0.31,-2.5552843672210757
3,0.61,0.61,-2.602313139902695
3,0.61,0.9099999999999999,-5.936394274323514
3,0.61,symmetric,-2.574134727923509
3,0.9099999999999999,0.01,-2.492270293935633
3,0.9099999999999999,0.31,-2.5808527280241247
3,0.9099999999999999,0.61,-2.794532081693282
3,0.9099999999999999,0.9099999999999999,-4.187166939799113
3,0.9099999999999999,symmetric,-2.619470663285755
3,symmetric,0.01,-2.4507322401369738
3,symmetric,0.31,-2.6279599419588227
3,symmetric,0.61,-2.710910354462986
3,symmetric,0.9099999999999999,-7.014536341722543
3,symmetric,symmetric,-2.7028654643265217
3,asymmetric,0.01,-2.8009119392919373
3,asymmetric,0.31,-5.968251672019388
3,asymmetric,0.61,-9.484901882355251
3,asymmetric,0.9099999999999999,-7.99639084255934
3,asymmetric,symmetric,-6.272723779889841
4,0.01,0.01,-2.53837638041706
4,0.01,0.31,-2.9182393629985657
4,0.01,0.61,-5.490586515932286
4,0.01,0.9099999999999999,-7.30174229483446
4,0.01,symmetric,-2.952702460085189
4,0.31,0.01,-2.555342842338212
4,0.31,0.31,-2.7951019013845944
4,0.31,0.61,-4.558357331135309
4,0.31,0.9099999999999999,-6.099562584663178
4,0.31,symmetric,-3.049003679122615
4,0.61,0.01,-2.5849982301793637
4,0.61,0.31,-3.105490414215451
4,0.61,0.61,-5.579256648029501
4,0.61,0.9099999999999999,-6.3394299723433285
4,0.61,symmetric,-3.3693830901367274
4,0.9099999999999999,0.01,-2.5544642171262324
4,0.9099999999999999,0.31,-3.0437924992450274
4,0.9099999999999999,0.61,-4.34872818803743
4,0.9099999999999999,0.9099999999999999,-5.4485935612311795
4,0.9099999999999999,symmetric,-3.0537777587173065
4,symmetric,0.01,-2.533849605373173
4,symmetric,0.31,-3.1486003580572994
