Topics,Alpha,Eta,Coherence
2,0.01,0.01,-2.148301149788433
2,0.01,0.31,-2.125086363221633
2,0.01,0.61,-2.1319069248292575
2,0.01,0.9099999999999999,-2.868828430059097
2,0.01,symmetric,-2.166906161714823
2,0.31,0.01,-2.1086749117284986
2,0.31,0.31,-2.1413052647264026
2,0.31,0.61,-2.126843763741425
2,0.31,0.9099999999999999,-2.0806482668157056
2,0.31,symmetric,-2.1543414494380575
2,0.61,0.01,-2.135672613967353
2,0.61,0.31,-2.1105278898175417
2,0.61,0.61,-2.1226972865228486
2,0.61,0.9099999999999999,-2.156344456871771
2,0.61,symmetric,-2.096129766948148
2,0.9099999999999999,0.01,-2.112585783698992
2,0.9099999999999999,0.31,-2.1463930421372224
2,0.9099999999999999,0.61,-2.1598538733113855
2,0.9099999999999999,0.9099999999999999,-2.1002778410761307
2,0.9099999999999999,symmetric,-2.152989082466073
2,symmetric,0.01,-2.151824764834035
2,symmetric,0.31,-2.103697488893731
2,symmetric,0.61,-2.0998778358287744
2,symmetric,0.9099999999999999,-2.1566291358517313
2,symmetric,symmetric,-2.119634836527993
2,asymmetric,0.01,-2.1553450658723614
2,asymmetric,0.31,-2.060607989223281
2,asymmetric,0.61,-2.184975356358896
2,asymmetric,0.9099999999999999,-2.1768670818323264
2,asymmetric,symmetric,-2.1893842847236686
3,0.01,0.01,-2.3013408429631883
3,0.01,0.31,-2.2292250752636065
3,0.01,0.61,-2.9039543993040398
3,0.01,0.9099999999999999,-6.739095593644566
3,0.01,symmetric,-2.209023932628678
3,0.31,0.01,-2.2952632950654017
3,0.31,0.31,-2.2393776918460806
3,0.31,0.61,-2.284133749291249
3,0.31,0.9099999999999999,-2.705103098572137
3,0.31,symmetric,-2.249140232324571
3,0.61,0.01,-2.215524141805119
3,0.61,0.31,-2.249518965946816
3,0.61,0.61,-2.270474449404252
3,0.61,0.9099999999999999,-2.214099289587411
3,0.61,symmetric,-2.266585980335661
3,0.9099999999999999,0.01,-2.255745650406301
3,0.9099999999999999,0.31,-2.3307601213767737
3,0.9099999999999999,0.61,-2.310477668739781
3,0.9099999999999999,0.9099999999999999,-2.3094132055801815
3,0.9099999999999999,symmetric,-2.3117778534722313
3,symmetric,0.01,-2.3181155849841937
3,symmetric,0.31,-2.2729973732278985
3,symmetric,0.61,-2.2395896681702245
3,symmetric,0.9099999999999999,-2.6921851880284806
3,symmetric,symmetric,-2.265688661725846
3,asymmetric,0.01,-2.194460366471814
3,asymmetric,0.31,-2.355389978233226
3,asymmetric,0.61,-2.477504812179214
3,asymmetric,0.9099999999999999,-3.859758916435576
3,asymmetric,symmetric,-2.347360261762794
4,0.01,0.01,-2.3640055255832615
4,0.01,0.31,-2.41417616772737
4,0.01,0.61,-5.370227482035676
4,0.01,0.9099999999999999,-9.22060107348862
4,0.01,symmetric,-2.4485488603421173
4,0.31,0.01,-2.289328930048293
4,0.31,0.31,-2.3357543746974776
4,0.31,0.61,-2.277505735417435
4,0.31,0.9099999999999999,-6.744806365405146
4,0.31,symmetric,-2.2690227470812117
4,0.61,0.01,-2.268599026399666
4,0.61,0.31,-2.265150328553072
4,0.61,0.61,-2.3453474499117877
4,0.61,0.9099999999999999,-2.264355556080526
4,0.61,symmetric,-2.214952225392759
4,0.9099999999999999,0.01,-2.298580812876504
4,0.9099999999999999,0.31,-2.2619290937117555
4,0.9099999999999999,0.61,-2.245196473658124
4,0.9099999999999999,0.9099999999999999,-2.282329131342032
4,0.9099999999999999,symmetric,-2.2494332905911794
4,symmetric,0.01,-2.3190886078165693
4,symmetric,0.31,-2.196890691221488
4,symmetric,0.61,-2.6136636430599545
4,symmetric,0.9099999999999999,-7.837309387976697
4,symmetric,symmetric,-2.2806995112161474
4,asymmetric,0.01,-2.4088407951562423
4,asymmetric,0.31,-2.5000167607949946
4,asymmetric,0.61,-5.859486601157582
4,asymmetric,0.9099999999999999,-6.8982353045964695
4,asymmetric,symmetric,-2.6716346497659997
5,0.01,0.01,-3.0753504551481727
5,0.01,0.31,-3.2879948889684747
5,0.01,0.61,-9.897342879186374
5,0.01,0.9099999999999999,-11.858788469239025
5,0.01,symmetric,-2.704850702809297
5,0.31,0.01,-2.4654599363096388
5,0.31,0.31,-2.475586453053858
5,0.31,0.61,-3.8581392103722174
5,0.31,0.9099999999999999,-8.231019091994359
5,0.31,symmetric,-2.494484900258165
5,0.61,0.01,-2.4610107383585733
5,0.61,0.31,-2.4092493052761577
5,0.61,0.61,-2.416213487060093
5,0.61,0.9099999999999999,-5.752072601627236
5,0.61,symmetric,-2.361669868001041
5,0.9099999999999999,0.01,-2.3500167802286596
5,0.9099999999999999,0.31,-2.3741481189064735
5,0.9099999999999999,0.61,-2.484905287348919
5,0.9099999999999999,0.9099999999999999,-4.370324933554956
5,0.9099999999999999,symmetric,-2.314277657272123
5,symmetric,0.01,-2.5134814387243596
5,symmetric,0.31,-2.5236165845729936
5,symmetric,0.61,-6.197454203418046
5,symmetric,0.9099999999999999,-11.557728188824353
5,symmetric,symmetric,-2.475035218511126
5,asymmetric,0.01,-2.653664252626622
5,asymmetric,0.31,-4.496911508839127
5,asymmetric,0.61,-8.529745284880553
