Topics,Alpha,Eta,Coherence
2,0.01,0.01,-2.297507303556766
2,0.01,0.31,-2.3594722878678267
2,0.01,0.61,-5.08500282248889
2,0.01,0.9099999999999999,-4.285603125411608
2,0.01,symmetric,-3.897984019254795
2,0.31,0.01,-2.3565044117471117
2,0.31,0.31,-2.325002291277623
2,0.31,0.61,-2.286654427765353
2,0.31,0.9099999999999999,-2.3292083248069284
2,0.31,symmetric,-2.2885261378171915
2,0.61,0.01,-2.3759610304396017
2,0.61,0.31,-2.2705009817184667
2,0.61,0.61,-2.294000168810679
2,0.61,0.9099999999999999,-2.377789811186185
2,0.61,symmetric,-2.2767754838175884
2,0.9099999999999999,0.01,-2.331388170429843
2,0.9099999999999999,0.31,-2.269133117201731
2,0.9099999999999999,0.61,-2.2448996042147478
2,0.9099999999999999,0.9099999999999999,-2.3203513940644114
2,0.9099999999999999,symmetric,-2.1830818763867335
2,symmetric,0.01,-2.3342754990839536
2,symmetric,0.31,-2.2974248283829395
2,symmetric,0.61,-2.30124876693033
2,symmetric,0.9099999999999999,-2.2915863544837847
2,symmetric,symmetric,-2.3115768987490832
2,asymmetric,0.01,-2.5273517989868677
2,asymmetric,0.31,-2.384448843701411
2,asymmetric,0.61,-2.277772111762057
2,asymmetric,0.9099999999999999,-2.3149816163305394
2,asymmetric,symmetric,-2.3007881278405407
3,0.01,0.01,-2.5569924003374216
3,0.01,0.31,-3.343690086437085
3,0.01,0.61,-4.262752036097345
3,0.01,0.9099999999999999,-8.756029333732545
3,0.01,symmetric,-3.4277982750614187
3,0.31,0.01,-2.490748250238538
3,0.31,0.31,-2.421068815919804
3,0.31,0.61,-4.420768416221645
3,0.31,0.9099999999999999,-5.61802162194017
3,0.31,symmetric,-2.4478886375976843
3,0.61,0.01,-2.5433682353973066
3,0.61,0.31,-2.572458268949572
3,0.61,0.61,-3.3992846614769925
3,0.61,0.9099999999999999,-4.895929576163096
3,0.61,symmetric,-2.6118705133728377
3,0.9099999999999999,0.01,-2.4878055556425402
3,0.9099999999999999,0.31,-2.474385956212793
3,0.9099999999999999,0.61,-3.070829718183555
3,0.9099999999999999,0.9099999999999999,-3.8202313783335455
3,0.9099999999999999,symmetric,-2.476893084514835
3,symmetric,0.01,-2.5045852235201242
3,symmetric,0.31,-2.4148251029664807
3,symmetric,0.61,-4.142484660965519
3,symmetric,0.9099999999999999,-5.026146323806564
3,symmetric,symmetric,-2.4455648167475172
3,asymmetric,0.01,-2.571387032601582
3,asymmetric,0.31,-2.3818324329483853
3,asymmetric,0.61,-3.5017195607274325
3,asymmetric,0.9099999999999999,-5.245648260009351
3,asymmetric,symmetric,-2.335417133889326
4,0.01,0.01,-2.4982816236388135
